antecedents,consequents,support,confidence,lift
"frozenset({'carvao', 'cafe'})",frozenset({'sabonete'}),0.14285714285714285,1.0,7.0
frozenset({'presunto'}),"frozenset({'carvao', 'cafe'})",0.14285714285714285,1.0,7.0
frozenset({'cafe'}),"frozenset({'carvao', 'presunto'})",0.14285714285714285,1.0,7.0
frozenset({'carvao'}),"frozenset({'cafe', 'presunto'})",0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'presunto'})",frozenset({'carvao'}),0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'presunto'})",frozenset({'cafe'}),0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'cafe'})",frozenset({'presunto'}),0.14285714285714285,1.0,7.0
frozenset({'leite integral'}),"frozenset({'carvao', 'cafe'})",0.14285714285714285,1.0,7.0
frozenset({'cafe'}),"frozenset({'carvao', 'leite integral'})",0.14285714285714285,1.0,7.0
frozenset({'carvao'}),"frozenset({'cafe', 'leite integral'})",0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'leite integral'})",frozenset({'carvao'}),0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'leite integral'})",frozenset({'cafe'}),0.14285714285714285,1.0,7.0
"frozenset({'carvao', 'cafe'})",frozenset({'leite integral'}),0.14285714285714285,1.0,7.0
frozenset({'sabonete'}),frozenset({'cafe'}),0.14285714285714285,1.0,7.0
frozenset({'cafe'}),frozenset({'sabonete'}),0.14285714285714285,1.0,7.0
frozenset({'sabonete'}),"frozenset({'cafe', 'leite integral'})",0.14285714285714285,1.0,7.0
frozenset({'leite integral'}),"frozenset({'cafe', 'sabonete'})",0.14285714285714285,1.0,7.0
frozenset({'cafe'}),"frozenset({'leite integral', 'sabonete'})",0.14285714285714285,1.0,7.0
"frozenset({'leite integral', 'sabonete'})",frozenset({'cafe'}),0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'sabonete'})",frozenset({'leite integral'}),0.14285714285714285,1.0,7.0
"frozenset({'cafe', 'leite integral'})",frozenset({'sabonete'}),0.14285714285714285,1.0,7.0
frozenset({'presunto'}),"frozenset({'cafe', 'leite integral'})",0.14285714285714285,1.0,7.0
frozenset({'leite integral'}),"frozenset({'cafe', 'presunto'})",0.14285714285714285,1.0,7.0
frozenset({'cafe'}),"frozenset({'leite integral', 'presunto'})",0.14285714285714285,1.0,7.0
"frozenset({'leite integral', 'presunto'})",frozenset({'cafe'}),0.14285714285714285,1.0,7.0
